Species,Occurrence,Lon,Lat,Description,Quality
Bulbocodium versicolor,0,38.88840,50.97025,,
Bulbocodium versicolor,0,38.88816,50.97216,,
Bulbocodium versicolor,0,38.88844,50.97401,,
Bulbocodium versicolor,0,38.89159,50.97132,,
Bulbocodium versicolor,0,39.05108,50.94037,,
Bulbocodium versicolor,0,39.08774,51.13156,,
Bulbocodium versicolor,0,39.09490,51.12670,,
Bulbocodium versicolor,0,39.09685,51.12270,,
Bulbocodium versicolor,0,39.03254,51.00398,,
Bulbocodium versicolor,0,41.78666,51.40699,,
Bulbocodium versicolor,0,41.78763,51.40913,,
Bulbocodium versicolor,0,41.78553,51.40795,,
Bulbocodium versicolor,0,41.78897,51.40744,,
Bulbocodium versicolor,0,41.76210,51.42130,,
Bulbocodium versicolor,0,41.76223,51.42403,,
Bulbocodium versicolor,0,41.76582,51.42588,,
Bulbocodium versicolor,0,41.76721,51.42821,,
Bulbocodium versicolor,0,41.77002,51.428314,,
Bulbocodium versicolor,0,41.76911,51.43035,,
Bulbocodium versicolor,0,41.77128,51.43259,,
Bulbocodium versicolor,0,41.77205,51.43404,,
Bulbocodium versicolor,0,42.66630,51.40053,,
Bulbocodium versicolor,0,42.66835,51.40296,,
Bulbocodium versicolor,0,42.66689,51.40166,,
Bulbocodium versicolor,0,42.66873,51.40179,,
Bulbocodium versicolor,0,42.66155,51.42855,,
Bulbocodium versicolor,0,42.65712,51.43817,,
Bulbocodium versicolor,0,42.66676,51.44101,,
Bulbocodium versicolor,0,40.60490,49.89306,,
Bulbocodium versicolor,0,40.62654,49.89377,,
Bulbocodium versicolor,0,40.62102,49.88716,,
Bulbocodium versicolor,0,40.63138,49.88550,,
Bulbocodium versicolor,0,40.62868,49.89022,,
Bulbocodium versicolor,0,40.62530,49.89800,,
